List,Card Name,Card Description,Due Date,Labels
Sprint 1 - Setup & Auth,2 Sep - Project setup,"Init Git repo, scaffold Spring Boot + React, MySQL schema, initial architecture, env config.",2026-09-02,Setup
Sprint 1 - Setup & Auth,3 Sep - Auth (registration),"User entity, registration endpoint, password hashing, Spring Security base config.",2026-09-03,Auth
Sprint 1 - Setup & Auth,4 Sep - Auth (login & JWT),"Login endpoint, JWT issue/validate, role field, protected routes.",2026-09-04,Auth
Sprint 2 - Core Ticket System,7 Sep - Ticket CRUD (backend),"Ticket/Category entities, create-ticket endpoint, list-tickets endpoint scoped by role.",2026-09-07,Backend
Sprint 2 - Core Ticket System,8 Sep - Ticket assign/status/resolve,"Ticket details, assign endpoint, status/priority update, resolve logic + resolved_at.",2026-09-08,Backend
Sprint 3 - Frontend MVP,9 Sep - Frontend part 1,"Login/Register pages, Auth context, protected routes, Employee & Agent dashboard shells.",2026-09-09,Frontend
Sprint 3 - Frontend MVP,10 Sep - Frontend part 2,"Ticket list, Create Ticket, Ticket Details pages.",2026-09-10,Frontend
Sprint 3 - Frontend MVP,11 Sep - Comments + validation,"Comment entity/endpoints + UI, Jakarta Validation, global exception handler, ticket filtering.",2026-09-11,"Backend,Frontend"
Sprint 4 - AI & Dashboard,14 Sep - AI integration,"Spring AI + OpenAI setup; ticket analysis (category, priority, summary, suggested actions); graceful AI failure handling.",2026-09-14,AI
Sprint 4 - AI & Dashboard,15 Sep - Dashboard + API docs,Statistics endpoint + dashboard UI; Swagger/OpenAPI; UI refinement.,2026-09-15,"Backend,Frontend,Docs"
Sprint 5 - Test & Deploy,16 Sep - Testing,JUnit/Mockito tests; Postman collection; security/integration checks.,2026-09-16,Testing
Sprint 5 - Test & Deploy,17 Sep - Docker + Azure,Dockerfiles + docker-compose; Azure hosting for frontend/backend; managed DB; env/secrets via Azure config; HTTPS.,2026-09-17,DevOps
Sprint 5 - Test & Deploy,18 Sep - Finalization,"Bug fixes, README, architecture/ER diagrams, demo prep, final deployment verification.",2026-09-18,Docs
